STARTTIME,STOPTIME,STARTTIME_GMT,STOPTIME_GMT,STARTDATE,MARKET_RUN_ID,RESOURCE_TYPE,SCHEDULINGCOORDINATOR_SEQ,RESOURCEBID_SEQ,TIMEINTERVALSTART,TIMEINTERVALEND,TIMEINTERVALSTART_GMT,TIMEINTERVALEND_GMT,PRODUCTBID_DESC,PRODUCTBID_MRID,MARKETPRODUCT_DESC,MARKETPRODUCTTYPE,SELFSCHEDMW,SCH_BID_TIMEINTERVALSTART,SCH_BID_TIMEINTERVALSTOP,SCH_BID_TIMEINTERVALSTART_GMT,SCH_BID_TIMEINTERVALSTOP_GMT,SCH_BID_XAXISDATA,SCH_BID_Y1AXISDATA,SCH_BID_Y2AXISDATA,SCH_BID_CURVETYPE,MINEOHSTATEOFCHARGE,MAXEOHSTATEOFCHARGE
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,403257,392473,2025-07-01T17:00:00,2025-07-01T18:00:00,2025-07-02T00:00:00-00:00,2025-07-02T01:00:00-00:00,,,,EN,9.9,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,403257,392473,2025-07-01T18:00:00,2025-07-01T19:00:00,2025-07-02T01:00:00-00:00,2025-07-02T02:00:00-00:00,,,,EN,9.4,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,403257,392473,2025-07-01T19:00:00,2025-07-01T20:00:00,2025-07-02T02:00:00-00:00,2025-07-02T03:00:00-00:00,,,,EN,9.1,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,403257,392473,2025-07-01T20:00:00,2025-07-01T21:00:00,2025-07-02T03:00:00-00:00,2025-07-02T04:00:00-00:00,,,,EN,8,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,403257,392473,2025-07-01T21:00:00,2025-07-01T22:00:00,2025-07-02T04:00:00-00:00,2025-07-02T05:00:00-00:00,,,,EN,7.1,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,403257,392473,2025-07-01T22:00:00,2025-07-01T23:00:00,2025-07-02T05:00:00-00:00,2025-07-02T06:00:00-00:00,,,,EN,6.8,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,403257,392473,2025-07-01T23:00:00,2025-07-02T00:00:00,2025-07-02T06:00:00-00:00,2025-07-02T07:00:00-00:00,,,,EN,6.4,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,INTERTIE,699539,900130,2025-07-01T06:00:00,2025-07-01T19:00:00,2025-07-01T13:00:00-00:00,2025-07-02T02:00:00-00:00,,,,EN,0,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,INTERTIE,699539,900130,2025-07-01T19:00:00,2025-07-01T22:00:00,2025-07-02T02:00:00-00:00,2025-07-02T05:00:00-00:00,,,,EN,1,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,INTERTIE,699539,900130,2025-07-01T22:00:00,2025-07-01T23:00:00,2025-07-02T05:00:00-00:00,2025-07-02T06:00:00-00:00,,,,EN,0,,,,,,,,,,
