RESOURCE ID,RESOURCE NAME,RESOURCE PMAX MW,RESOURCEBID_SEQ,seq_max_mw,n_matches,mean_pct_err,score,confidence
PNCHEG_2_PL1X4,PANOCHE ENERGY CENTER (Aggregated),417,944410,407,2,0.007425742574257425,1.9851485148514851,1
RCKCRK_7_UNIT 1,ROCK CREEK HYDRO UNIT 1,57,123566,51.91,3,0.008548669127647129,2.9743539926170586,1.006310392427529
ROSMDW_2_WIND1,Pacific Wind - Phase 1,140,780584,130,3,0.020722423043595267,2.9378327308692143,1.0024183258299844
RTEDDY_2_SOLAR1,Rosamond West Solar 1,54,114138,49,3,0.01924778761061941,2.942256637168142,1.0006772009029345
RVRVEW_1_UNITA1,Riverview Energy Center (GP Antioch),48.7,376200,47.6,2,0,2,1.0021052631578948
SANBRN_2_EESSB2,Edsan 2 Edwards Sanborn E1B,166,111549,150,3,0.03263403263403263,2.902097902097902,Inf
SISPRG_2_DS3BT1,Daggett Solar 3 a BESS,61.5,352614,61.5,2,0,2,1.0193333333333332
SISPRG_2_DS3BT2,Daggett Solar 3 b BESS,60,131816,58,12,0.01708573285837639,11.794971205699483,1.0109370632769714
SLATE_2_SLASR2,SLATE_2,93,561157,100,5,0.019607843137254832,4.901960784313726,1.2564286491379726
SLATE_2_SLASR3,SLATE_3,67.5,435258,62.34,5,0.03617977528089878,4.819101123595506,1.2449927431059509
SLSTR2_2_SOLAR2,Solar Star 2,276,360573,250,2,0.016789215686274495,1.966421568627451,1.014978620044025
SNCLRA_2_UNIT1,New Indy Oxnard,27.8,620521,30,2,0.026363636363636367,1.9472727272727273,Inf
SPAULD_6_UNIT12,SPAULDING HYDRO PH 1 & 2 AGGREGATE,11.4,513723,11.5,4,0.03847402597402595,3.8461038961038962,1.3325084364454445
SPICER_1_UNITS,SPICER HYDRO UNITS 1-3 AGGREGATE,6,553779,6,3,0.03124999999999989,2.9062500000000004,1.4531250000000002
SUNCAT_2_A1ABT1,Arlington Solar Unit 1A BESS,47,189802,42.96,4,0.03295578525290572,3.868176858988377,2.0150316221060303
SUNCAT_2_A1BBT1,Arlington Solar Unit 1B BESS,63,615344,64.66,26,0.02734837134109879,25.28894234513143,1.2445597086003004
SUNSLR_1_SSVSR1,Sunshine Valley Solar 1,100,345990,96.61,15,8.618003353643543e-4,14.987072994969536,1.0043685115827103
SYCAMR_2_UNIT 1,Sycamore Cogeneration Unit 1,78,182568,73,2,0.006756756756756757,1.9864864864864864,1.0000931966449207
TANHIL_6_SOLART,Berry Cogen 18,17,379813,18.65,2,0.024444444444444418,1.9511111111111112,Inf
