"RESOURCE ID","RESOURCE NAME","RESOURCE PMAX MW","RESOURCEBID_SEQ","seq_max_mw","rank","n_matches","mean_pct_err","score","confidence"
"CALFTS_2_CFSSR1","California Flats Solar South",150,920866,150,4,3,0.023381778544827,2.92985466436552,NA
"CALFTS_2_CFSSR1","California Flats Solar South",150,589872,141.78,5,3,0.0283030303030303,2.91509090909091,NA
"CARBOU_7_PL2X3","CARIBOU PH 1 UNIT 2 & 3 AGGREGATE",49,890505,50,1,3,0.0203277777777778,2.93901666666667,0.00703750120505164
"CARBOU_7_PL2X3","CARIBOU PH 1 UNIT 2 & 3 AGGREGATE",49,111869,50,2,3,0.0272222222222222,2.91833333333333,NA
"CARBOU_7_PL2X3","CARIBOU PH 1 UNIT 2 & 3 AGGREGATE",49,841533,49.72,3,3,0.0314528735632184,2.90564137931035,NA
"CARBOU_7_PL2X3","CARIBOU PH 1 UNIT 2 & 3 AGGREGATE",49,426166,47.7,4,2,0.0172413793103448,1.96551724137931,NA
"CARBOU_7_PL2X3","CARIBOU PH 1 UNIT 2 & 3 AGGREGATE",49,444308,49,5,2,0.0172413793103448,1.96551724137931,NA
"CARBOU_7_PL4X5","CARIBOU PH 2 UNIT 4 & 5 AGGREGATE",120,108072,120,1,14,0.00946658463329761,13.8674678151338,0.503976579382283
"CARBOU_7_PL4X5","CARIBOU PH 2 UNIT 4 & 5 AGGREGATE",120,469253,115,2,7,0.017344454147316,6.87858882096879,NA
"CARBOU_7_PL4X5","CARIBOU PH 2 UNIT 4 & 5 AGGREGATE",120,476474,119,3,5,0.00505649717514124,4.97471751412429,NA
"CARBOU_7_PL4X5","CARIBOU PH 2 UNIT 4 & 5 AGGREGATE",120,993410,117.96,4,4,0.022184976596063,3.91126009361575,NA
"CARBOU_7_PL4X5","CARIBOU PH 2 UNIT 4 & 5 AGGREGATE",120,828735,126.81,5,4,0.0262989719366491,3.8948041122534,NA
"CARBOU_7_UNIT 1","CARIBOU PH 1 UNIT 1",24,160554,22,1,2,0.05,1.9,1
"CARLS1_2_CARCT1","Carlsbad 1",422,160605,407,1,4,0.001230012300123,3.99507995079951,0
"CARLS1_2_CARCT1","Carlsbad 1",422,944410,407,2,4,0.001230012300123,3.99507995079951,NA
"CARLS1_2_CARCT1","Carlsbad 1",422,879947,404,3,4,0.00615006150061501,3.97539975399754,NA
"CARLS1_2_CARCT1","Carlsbad 1",422,123833,417,4,4,0.025830258302583,3.89667896678967,NA
"CARLS1_2_CARCT1","Carlsbad 1",422,129058,422,5,4,0.038130381303813,3.84747847478475,NA
"CENTPD_2_BMSSX2","Blythe Mesa Solar",223.6,238485,210,1,3,0.0336700336700337,2.8989898989899,0.328596994000371
"CENTPD_2_BMSSX2","Blythe Mesa Solar",223.6,705107,241.5,2,2,0.0268047337278107,1.94639053254438,NA
"CENTPD_2_BMSSX2","Blythe Mesa Solar",223.6,178320,226.84,3,2,0.0310909090909091,1.93781818181818,NA
"CENTPD_2_BMSSX2","Blythe Mesa Solar",223.6,263628,208.96,4,2,0.0325925925925926,1.93481481481481,NA
"CHEVMN_2_UNITS","CHEVRON U.S.A. UNITS 1 & 2 AGGREGATE",124.87,736344,114.8,1,3,0.0287037037037037,2.91388888888889,0.323469971401335
"CHEVMN_2_UNITS","CHEVRON U.S.A. UNITS 1 & 2 AGGREGATE",124.87,195275,127.6,2,2,0.0143333333333333,1.97133333333333,NA
"CLINESCO_3_PVDYN","CLINES CORNERS",129.94,914978,139.97,1,2,0.0183888066681664,1.96322238666367,1
"CLRMNT_6_CLEBT1","Clairemont Energy Storage",9,143302,9.5,1,6,0.0444444444444445,5.73333333333333,0
"CLRMNT_6_CLEBT1","Clairemont Energy Storage",9,193527,9.5,2,6,0.0444444444444445,5.73333333333333,NA
"CLRMNT_6_CLEBT1","Clairemont Energy Storage",9,385155,9.5,3,6,0.0444444444444445,5.73333333333333,NA
"CLRMNT_6_CLEBT1","Clairemont Energy Storage",9,491560,9,4,2,0.0374675324675325,1.92506493506494,NA
"CNTNLA_2_SOLAR1","Centinela Solar Energy I",125,124574,128.39,1,2,0.025658817862405,1.94868236427519,1
"COLUSA_2_PL1X3","Colusa Generating Station",641,101489,635,1,2,0,2,1
"COLVIL_7_PL1X2","COLLIERVILLE HYDRO UNIT 1 & 2 AGGREGATE",246.86,201370,243.54,1,4,0.0292437925029354,3.88302482998826,1
"CONTRL_1_LUNDY","LUNDY",3,163107,2.7,1,3,9.25185853854297e-17,3,0.333333333333333
"CONTRL_1_LUNDY","LUNDY",3,179000,2.75,2,2,0,2,NA
