"RESOURCE ID","RESOURCE NAME","total_curtailment_events","RESOURCEBID_SEQ","n_matches","confidence","score"
"EDMONS_2_NSPIN","EDMONS_2_NSPIN",2,NA,NA,NA,NA
"EDWARD_2_ESSSB2","Sanborn Solar 2",4,170587,2,0.00382470306680882,1.97254568854569
"ELCAJN_6_EB1BT1","Eastern BESS 1",414,372178,155,0.323447283898897,155
"ELCAJN_6_LM6K","El Cajon Energy Center",1,NA,NA,NA,NA
"ELECTR_7_PL1X3","ELECTRA PH UNIT 1 & 2 AGGREGATE",56,954013,14,0.199147680020731,13.6935343232374
"ELKHIL_2_PL1X3","ELK HILLS COMBINED CYCLE (AGGREGATE)",23,NA,NA,NA,NA
"ELKHRN_1_EESX3","Elkhorn Energy Storage",20,883062,11,0.00452899429664733,10.7933125555839
"ELLIOT_6_ELIBT1","Elliott Energy Storage",14,376549,5,0.3972479667108,4.84157509157509
"ELSEGN_2_UN1011","El Segundo Energy Center 5/6",1,NA,NA,NA,NA
"ENWIND_2_WIND1","Cameron Ridge",2,NA,NA,NA,NA
"ENWIND_2_WIND2","Ridgetop I",3,NA,NA,NA,NA
"ESCNDO_6_EB1BT1","Escondido BESS 1",93,882665,13,0.0793945464025241,12.7205070707071
"ESCNDO_6_EB2BT2","Escondido BESS 2",95,193527,15,0.462759462759463,14.8909090909091
"ESCNDO_6_EB3BT3","Escondido BESS 3",110,NA,NA,NA,NA
"ESCNDO_6_UNITB1","CalPeak Power Enterprise Unit 1",5,917872,2,1,1.9452
"ETIWND_2_FONTNA","FONTANALYTLE CREEK POWERHOUSE P",4,190607,3,1,2.9126213592233
"ETIWND_2_UNIT1","ETIWND_2_UNIT1",2,NA,NA,NA,NA
"ETIWND_6_GRPLND","Grapeland Peaker",3,156192,3,0,2.98760172237034
"EXCHEC_7_UNIT 1","EXCHEQUER HYDRO",3,140162,2,1,2
"FALBRK_6_FESBT1","Fallbrook Energy Storage",7,NA,NA,NA,NA
"FIFTHS_2_FSSBT","Fifth Standard Battery",5,NA,NA,NA,NA
"FMEADO_7_UNIT","FRENCH MEADOWS HYDRO",3,159739,2,0.00594732370433304,1.96166666666667
"GARLND_2_GARBT1","Garland B BESS",17,131086,3,0.00317888085802265,2.91364213564214
