"generator","generator_name","curtailment_date","pmax_mw","curtailment_mw","expected_available_mw","RESOURCEBID_SEQ","daily_max_mw","mw_error","pct_error"
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-02-24,820,31.2,788.8,166600,799.47,10.6700000000001,0.0135268762677486
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-02-24,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-02-25,820,31.2,788.8,166600,799.47,10.6700000000001,0.0135268762677486
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-02-25,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-02-26,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-02-26,820,31.2,788.8,166600,799.47,10.6700000000001,0.0135268762677486
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-02-27,820,31.2,788.8,166600,799.47,10.6700000000001,0.0135268762677486
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-02-27,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-02-28,820,31.2,788.8,166600,799.47,10.6700000000001,0.0135268762677486
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-02-28,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-02-29,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-02-29,820,31.2,788.8,166600,799.47,10.6700000000001,0.0135268762677486
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-03-01,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-03-02,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-03-03,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-03-03,820,31.2,788.8,166600,799.47,10.6700000000001,0.0135268762677486
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-03-04,820,34,786,166600,799.47,13.47,0.0171374045801527
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-03-04,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-03-04,820,31.2,788.8,166600,799.47,10.6700000000001,0.0135268762677486
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-03-08,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-03-09,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-03-10,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-03-12,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-03-13,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-03-15,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-03-15,820,1.2,818.8,166600,799.47,-19.3299999999999,-0.0236077186126037
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-03-25,820,34,786,166600,799.47,13.47,0.0171374045801527
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-03-29,820,34,786,166600,799.47,13.47,0.0171374045801527
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-04-01,820,15.8,804.2,166600,799.47,-4.73000000000002,-0.00588162148719226
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-04-02,820,15.8,804.2,166600,799.47,-4.73000000000002,-0.00588162148719226
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-04-02,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-04-03,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-04-04,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-04-05,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-04-05,820,15.8,804.2,166600,799.47,-4.73000000000002,-0.00588162148719226
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-04-06,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-04-07,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-04-07,820,15.8,804.2,166600,799.47,-4.73000000000002,-0.00588162148719226
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-04-08,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-04-08,820,15.8,804.2,166600,799.47,-4.73000000000002,-0.00588162148719226
