RESOURCE ID,RESOURCE NAME,total_outage_events,RESOURCEBID_SEQ,n_matches,confidence,score
BLVRDE_6_BLVBT1,BLVRDE_6_BLVBT1,1,223711.0,1.0,0.205128205128205,0.039
BLYTHE_1_SOLAR1,BLYTHE_1_SOLAR1,1,177935.0,1.0,0.941176470588235,0.80952380952381
BLYTHE_1_SOLAR2,BLYTHE_1_SOLAR2,2,,,,
BNNIEN_7_ALTAPH,BNNIEN_7_ALTAPH,1,,,,
BOGUE_1_UNITA1,BOGUE_1_UNITA1,1,,,,
BORDER_6_UNITA1,BORDER_6_UNITA1,3,,,,
BOWMN_6_HYDRO,BOWMN_6_HYDRO,1,,,,
BRDSLD_2_HIWIND,BRDSLD_2_HIWIND,1,,,,
BRDSLD_2_MTZUM2,BRDSLD_2_MTZUM2,1,,,,
BRDSLD_2_MTZUMA,BRDSLD_2_MTZUMA,1,,,,
BRDSLD_2_SHILO2,BRDSLD_2_SHILO2,1,113005.0,1.0,0.0959282263630091,0.966
BRDSLD_2_SHLO3A,BRDSLD_2_SHLO3A,2,142035.0,1.0,0.23469387755102,0.95609756097561
BRDSLD_2_SHLO3B,BRDSLD_2_SHLO3B,1,165180.0,1.0,0.5,1.0
BREGGO_6_DEGRSL,BREGGO_6_DEGRSL,1,203902.0,1.0,0.619230769230769,0.412698412698413
BREGGO_6_SOLAR,BREGGO_6_SOLAR,1,,,,
BRODIE_2_WIND,BRODIE_2_WIND,1,,,,
BUCKBL_2_PL1X3,BUCKBL_2_PL1X3,2,,,,
BUCKCK_7_PL1X2,BUCKCK_7_PL1X2,2,,,,
BUCKWD_1_NPALM1,BUCKWD_1_NPALM1,1,,,,
BUCKWD_1_QF,BUCKWD_1_QF,1,301986.0,1.0,0.151515151515151,1.0
BUCKWD_7_WINTCV,BUCKWD_7_WINTCV,1,129473.0,1.0,0.0,-73.7575757575758
BURNYF_2_UNIT 1,BURNYF_2_UNIT 1,2,,,,
BUTTVL_7_UNIT 1,BUTTVL_7_UNIT 1,6,153037.0,6.0,0.835443037974684,6.0
CABALO_2_M2BSR1,CABALO_2_M2BSR1,3,178559.0,3.0,0.166666666666667,2.4
CABALO_2_M2WSR2,CABALO_2_M2WSR2,3,131041.0,3.0,0.283154121863799,2.79
CABZON_1_WINDA1,CABZON_1_WINDA1,1,104627.0,1.0,0.0,-1.17073170731707
CALFTN_2_CFSBT1,CALFTN_2_CFSBT1,4,,,,
CALFTN_2_SOLAR,CALFTN_2_SOLAR,4,,,,
CALFTS_2_CFSSR1,CALFTS_2_CFSSR1,4,529747.0,4.0,0.464666666666667,2.0
CALGEN_1_UNITS,CALGEN_1_UNITS,1,,,,
CALPIN_1_AGNEW,CALPIN_1_AGNEW,2,,,,
CALPSS_6_SOLAR1,CALPSS_6_SOLAR1,6,,,,
CAMCHE_1_PL1X3,CAMCHE_1_PL1X3,3,197582.0,3.0,0.282296650717703,1.25525525525526
CAMDEN_6_RDDBM1,CAMDEN_6_RDDBM1,1,102701.0,1.0,0.0,-125.272727272727
CAMERN_6_BSPBT1,CAMERN_6_BSPBT1,1,,,,
CAMERN_6_BSPSR1,CAMERN_6_BSPSR1,1,138597.0,1.0,0.0,-117.047619047619
CAMLOT_2_SOLAR1,CAMLOT_2_SOLAR1,4,,,,
CAMLOT_2_SOLAR2,CAMLOT_2_SOLAR2,5,,,,
CAMPFW_7_FARWST,CAMPFW_7_FARWST,1,,,,
CANTUA_1_SOLAR,CANTUA_1_SOLAR,1,,,,
CARBOU_7_PL2X3,CARBOU_7_PL2X3,5,,,,
CARBOU_7_PL4X5,CARBOU_7_PL4X5,3,,,,
CARBOU_7_UNIT 1,CARBOU_7_UNIT 1,4,,,,
CARLS1_2_CARCT1,CARLS1_2_CARCT1,681,129058.0,681.0,0.75,681.0
CARLS2_1_CARCT1,CARLS2_1_CARCT1,684,710016.0,684.0,0.533701948393892,684.0
CASADB_1_CD4GT1,CASADB_1_CD4GT1,1,,,,
CASCES_6_CESBT1,CASCES_6_CESBT1,14,591854.0,14.0,0.311716121137963,13.076
CASCES_6_CESBT2,CASCES_6_CESBT2,1,,,,
CATLNA_2_SOLAR,CATLNA_2_SOLAR,4,143349.0,4.0,0.168539325842697,3.23636363636364
CATLNA_2_SOLAR2,CATLNA_2_SOLAR2,5,,,,
CAVLSR_2_BSOLAR,CAVLSR_2_BSOLAR,5,,,,
CAVLSR_2_RSOLAR,CAVLSR_2_RSOLAR,5,,,,
