"generator","generator_name","RESOURCEBID_SEQ","n_matches","pmax_mw","max_mw","mean_pct_err","score","confidence"
"GARNET_2_WIND4","Windustries",916013,3,9.8,10,0.0184062590553464,2.94478122283396,0.0118006264140045
"CONTRL_1_RUSHCK","RUSH CREEK",151598,2,11.94,12,0.0216666666666669,1.95666666666667,0.0110732538330495
"SISPRG_2_DS3BT2","Daggett Solar 3 b BESS",131816,12,60,58,0.0170857328583764,11.7949712056995,0.0108187380542946
"GLNARM_7_UNIT 4","GLEN ARM UNIT 4",174755,2,42.42,40,0.0100591715976332,1.97988165680473,0.0094142259414226
"BISHOP_1_UNITS","BISHOP CREEK PLANT 3  AND  4",301986,8,15.8,16.44,0.0186416834761419,7.85086653219086,0.00871506084454898
"MTWIND_1_MVPWD1","Mountain View Power Project I Repower",131675,14,66.6,60,0.0250497938201265,13.6493028865182,0.00784971581361926
"NGILAA_5_SDGDYN","NGILAA_5_SDGDYN",174744,4,57,55,0,4,0.00727272727272721
"VSTAES_6_VESBT1","Vista Energy Storage",386425,7,40,37.7,0.00827171825668067,6.94209797220323,0.00719803571304301
"CARBOU_7_PL2X3","CARIBOU PH 1 UNIT 2 & 3 AGGREGATE",890505,3,49,50,0.0203277777777778,2.93901666666667,0.00703750120505164
"PALOMR_2_PL1X3","Palomar Energy Center",844371,8,588.21,551.7,0.0311560963102051,7.75075122951836,0.00636621877061516
"RCKCRK_7_UNIT 1","ROCK CREEK HYDRO UNIT 1",123566,3,57,51.91,0.00854866912764713,2.97435399261706,0.00627082108563581
"MRGT_6_TGEBT1","Top Gun Energy Storage",285521,6,30,28,0.0151515151515152,5.90909090909091,0.00626780626780632
"PIT1_7_UNIT 1","PIT PH 1 UNIT 1",687240,7,32,32,0.00781990521327015,6.94526066350711,0.00617395274326593
"FMEADO_7_UNIT","FRENCH MEADOWS HYDRO",159739,2,16,15,0.0191666666666667,1.96166666666667,0.00594732370433304
"HIGHDS_2_H5SSR1","High 5 Solar",360176,2,100,100,0.0305833333333333,1.93883333333333,0.00557606669657285
"CRIMSN_2_CRMBT2","Crimson 2",589872,3,150,141.78,0.0236,2.9292,0.00535982520824807
"ALMASL_2_AL6BT6","Almasol 6 BES",163688,4,50,45,0.0227272727272727,3.90909090909091,0.00523255813953494
"USWNDR_2_SMUD2","Solano Wind Project Phase 3",264747,3,127.8,140,0.0103042568106089,2.96908722956817,0.00494683378623917
"HIDSRT_2_UNITS","HIGH DESERT POWER PROJECT AGGREGATE",203842,31,830,820,0.0150166528932111,30.5344837603105,0.00461858910757551
"OMAR_2_UNIT 4","KERN RIVER COGENERATION CO. UNIT 4",962064,3,75,75,0,3,0.00456621004566193
"ELKHRN_1_EESX3","Elkhorn Energy Storage",883062,11,182.5,174.29,0.0187897676741949,10.7933125555839,0.00452899429664733
"SUNSLR_1_SSVSR1","Sunshine Valley Solar 1",345990,15,100,96.61,0.000861800335364354,14.9870729949695,0.00434951069486078
"EDWARD_2_ESSSB2","Sanborn Solar 2",170587,2,132,133,0.0137271557271557,1.97254568854569,0.00382470306680882
"ARBWD_6_QF","Wind Resource II",107701,2,19.95,18,0.0229121870935203,1.95417562581296,0.00350921281564531
"GARLND_2_GARBT1","Garland B BESS",131086,3,88,80,0.0287859547859548,2.91364213564214,0.00317888085802265
"VALTNE_2_TRSBT1","Tropico Solar",650623,23,70,64.8,0.0125,22.7125,0.00316455696202544
"HOOVER_2_SCEPT","Hoover DAM - SCE Share",158253,2,287,275,0.00542170250614765,1.9891565949877,0.00250909090909102
"OCTILO_5_WIND","Ocotillo Wind Energy Facility",124064,5,265,266,0.011476652699065,4.94261673650468,0.00245610581605149
